Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
2004-01-01,1:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,8.3,C,8,6.1,C,8,86,E,9,1018,C,8,320,B,8,0,A,7,4800,A,7,77777,A,7,1.4,F,9,,,,,,,0,1,?,0,10
2004-01-01,2:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,7.2,C,8,4.4,C,8,83,E,9,1018,C,8,320,B,8,0,A,7,6400,A,7,77777,A,7,1.3,F,9,,,,,,,0,1,?,0,5
2004-01-01,3:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,6.1,C,8,3.9,C,8,86,E,9,1018,C,8,300,B,8,0,A,7,4800,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,?,0,10
2004-01-01,4:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,6.7,C,8,3.9,C,8,82,E,9,1018,C,8,300,A,7,0,A,7,6400,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,?,0,5
2004-01-01,5:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,6.7,A,7,3.9,A,7,82,E,9,1018,A,7,300,A,7,1.5,A,7,6400,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,?,0,5
2004-01-01,6:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,6.1,A,7,3.3,A,7,82,E,9,1019,A,7,300,B,8,0,A,7,6400,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,?,0,5
2004-01-01,7:00,0,31,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,A,7,99,C,9,5,A,7,3.3,A,7,89,E,9,1019,A,7,310,B,8,0,A,7,4800,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,?,0,10
2004-01-01,8:00,128,1411,24,E,5,12,E,5,23,E,5,2724,E,5,0,E,5,2606,E,5,98,E,5,3,A,7,99,C,9,6.1,A,7,2.8,A,7,80,E,9,1019,A,7,310,B,8,0,A,7,6400,A,7,77777,A,7,1.1,F,9,,,,,,,0,1,?,0,5
2004-01-01,9:00,360,1411,92,E,5,5,E,5,91,E,5,9665,E,5,436,E,5,13783,E,5,367,E,5,9,A,7,99,C,9,6.7,A,7,3.9,A,7,82,E,9,1021,A,7,310,A,7,1.5,A,7,8000,A,7,7620,A,7,1.2,F,9,,,,,,,0,1,?,0,5
2004-01-01,10:00,553,1411,197,E,5,57,E,5,175,E,5,21844,E,5,4191,E,5,19461,E,5,882,E,5,0,A,7,99,C,9,9.4,A,7,3.9,A,7,69,E,9,1022,A,7,310,B,8,0,A,7,6400,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,?,0,5
