Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
2004-01-01,1:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,9,C,8,7,C,8,87,E,9,1008,C,8,280,B,8,0,A,7,13786,A,7,77777,A,7,1.5,F,9,,,,,,,0,1,B,8,0
2004-01-01,2:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,7.8,C,8,6.1,C,8,89,E,9,1008,C,8,280,B,8,0,A,7,8000,A,7,77777,A,7,1.4,F,9,,,,,,,0,1,?,0,45
2004-01-01,3:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,7.8,C,8,4.4,C,8,79,E,9,1009,C,8,280,B,8,0,A,7,9600,A,7,77777,A,7,1.3,F,9,,,,,,,0,1,?,0,5
2004-01-01,4:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,7.2,C,8,3.9,C,8,80,E,9,1009,C,8,280,B,8,0,A,7,9600,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,B,8,5
2004-01-01,5:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,6.1,A,7,3.9,A,7,86,E,9,1009,A,7,280,B,8,0,A,7,6400,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,B,8,45
2004-01-01,6:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,6.1,A,7,2.8,A,7,80,E,9,1009,A,7,60,B,8,0,A,7,8000,A,7,77777,A,7,1.1,F,9,,,,,,,0,1,?,0,5
2004-01-01,7:00,0,21,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,A,7,99,C,9,5.6,A,7,2.2,A,7,79,E,9,1010,A,7,60,B,8,0,A,7,9600,A,7,77777,A,7,1.1,F,9,,,,,,,0,1,?,0,5
2004-01-01,8:00,126,1411,23,E,5,19,E,5,21,E,5,2623,E,5,0,E,5,2435,E,5,91,E,5,0,A,7,99,C,9,5.6,A,7,1.7,A,7,76,E,9,1010,A,7,60,B,8,0,A,7,11200,A,7,77777,A,7,1,F,9,,,,,,,0,1,?,0,999
2004-01-01,9:00,356,1411,83,E,5,0,E,5,83,E,5,8720,E,5,0,E,5,12668,E,5,336,E,5,0,A,7,99,C,9,6.7,A,7,2.2,A,7,73,E,9,1011,A,7,60,B,8,0,A,7,8000,A,7,77777,A,7,1.1,F,9,,,,,,,0,1,?,0,5
2004-01-01,10:00,549,1411,151,E,5,11,E,5,147,E,5,15693,E,5,1039,E,5,21313,E,5,575,E,5,0,A,7,99,C,9,9.4,A,7,1.7,A,7,59,E,9,1012,A,7,60,B,8,0,A,7,12800,A,7,77777,A,7,1,F,9,,,,,,,0,1,B,8,999
2004-01-01,11:00,684,1411,433,E,5,348,E,5,264,E,5,47701,E,5,31351,E,5,29284,E,5,1391,E,5,0,A,7,99,C,9,11.7,A,7,1.7,A,7,51,E,9,1013,A,7,60,A,7,0,A,7,12800,A,7,77777,A,7,1,F,9,,,,,,,0,1,B,8,999
2004-01-01,12:00,752,1411,285,E,5,72,E,5,247,E,5,31998,E,5,6208,E,5,27844,E,5,1324,E,5,0,A,7,99,C,9,12.8,A,7,-0.6,A,7,40,E,9,1013,A,7,60,A,7,1.5,A,7,16000,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,?,0,999
2004-01-01,13:00,747,1411,518,E,5,486,E,5,261,E,5,57866,E,5,43196,E,5,29282,E,5,1398,E,5,0,A,7,99,C,9,14.4,A,7,-1.7,A,7,33,E,9,1011,A,7,60,B,8,0,A,7,14400,A,7,77777,A,7,0.8,F,9,,,,,,,0,1,?,0,999
2004-01-01,14:00,671,1411,246,E,5,56,E,5,219,E,5,27476,E,5,4668,E,5,24631,E,5,1150,E,5,0,A,7,99,C,9,15.6,A,7,-1.7,A,7,30,E,9,1011,A,7,60,B,8,0,A,7,12800,A,7,77777,A,7,0.8,F,9,,,,,,,0,1,?,0,999
2004-01-01,15:00,528,1411,196,E,5,32,E,5,184,E,5,20162,E,5,2975,E,5,26456,E,5,723,E,5,0,A,7,99,C,9,16.7,A,7,-0.6,A,7,31,E,9,1010,A,7,60,B,8,1.5,A,7,16000,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,?,0,999
2004-01-01,16:00,329,1411,175,E,5,205,E,5,127,E,5,18790,E,5,11527,E,5,13722,E,5,593,E,5,0,A,7,99,C,9,16.7,A,7,2.2,A,7,38,E,9,1010,A,7,60,B,8,2.1,A,7,11200,A,7,77777,A,7,1.1,F,9,,,,,,,0,1,B,8,999
2004-01-01,17:00,101,1312,22,E,5,93,E,5,15,E,5,2533,E,5,0,E,5,1770,E,5,65,E,5,0,B,8,99,C,9,16.1,A,7,4.4,A,7,46,E,9,1010,A,7,60,B,8,2.1,A,7,16000,A,7,77777,A,7,1.3,F,9,,,,,,,0,1,B,8,999
2004-01-01,18:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,14.9,A,7,4.7,A,7,51,E,9,1010,A,7,60,B,8,1.8,A,7,16052,A,7,77777,A,7,1.3,F,9,,,,,,,0,1,B,8,0
2004-01-01,19:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,13.8,A,7,5.6,A,7,58,E,9,1010,A,7,110,B,8,1.2,A,7,14698,A,7,77777,A,7,1.4,F,9,,,,,,,0,1,B,8,5
